id,group_id,source_grid_id,source_grid_y,img_width,horizontals,target_grid_id,source_grid_x,img_height,target_grid_x,target_grid_y,verticals,row_major,grid_square_width
0,0,163,6,500,25,154,13,500,4,4,25,1,20
1,1,215,8,500,25,334,15,500,9,9,25,1,20
2,1,139,5,500,25,258,14,500,8,8,25,1,20
3,2,137,5,500,25,80,12,500,5,5,25,1,20
4,3,469,18,500,25,289,19,500,14,14,25,1,20
5,3,342,13,500,25,162,17,500,12,12,25,1,20
6,3,344,13,500,25,164,19,500,14,14,25,1,20
7,3,473,18,500,25,293,23,500,18,18,25,1,20
8,4,128,5,500,25,129,3,500,4,4,25,1,20
9,4,433,17,500,25,434,8,500,9,9,25,1,20
10,4,210,8,500,25,211,10,500,11,11,25,1,20
11,4,258,10,500,25,259,8,500,9,9,25,1,20
12,4,85,3,500,25,86,10,500,11,11,25,1,20
13,4,204,8,500,25,205,4,500,5,5,25,1,20
14,4,302,12,500,25,303,2,500,3,3,25,1,20
15,5,434,17,500,25,404,9,500,4,4,25,1,20
16,5,419,16,500,25,389,19,500,14,14,25,1,20
17,5,195,7,500,25,165,20,500,15,15,25,1,20
18,5,132,5,500,25,102,7,500,2,2,25,1,20
19,5,236,9,500,25,206,11,500,6,6,25,1,20
20,6,420,16,500,25,390,20,500,15,15,25,1,20
21,6,470,18,500,25,440,20,500,15,15,25,1,20
22,6,520,20,500,25,490,20,500,15,15,25,1,20
23,6,571,22,500,25,541,21,500,16,16,25,1,20
24,6,495,19,500,25,465,20,500,15,15,25,1,20
25,7,130,5,500,25,226,5,500,1,1,25,1,20
26,7,180,7,500,25,276,5,500,1,1,25,1,20
27,7,105,4,500,25,201,5,500,1,1,25,1,20
28,7,155,6,500,25,251,5,500,1,1,25,1,20
